OBJECTID,ROW_TYPE,GEOGRAPHY,GEOGRAPHY_ID,CALENDAR_YEAR,CALENDAR_MONTH,OFFENSE_DESCRIPTION,OFFENSE_COUNT
17039,Neighborhood Profile Area,117,117,2016,01,Aggravated Assault-Knife,1
17044,Neighborhood Profile Area,388,388,2016,04,"Aggravated Assault-Fists,Feet, etc.",1
17047,Neighborhood Profile Area,123,123,2016,11,Aggravated Assault-Knife,1
17107,Neighborhood Profile Area,336,336,2016,03,Aggravated Assault-Other Weapon,1
17118,Neighborhood Profile Area,229,229,2016,08,Aggravated Assault-Other Weapon,1
17119,Neighborhood Profile Area,18,18,2016,10,Aggravated Assault-Other Weapon,1
17143,Neighborhood Profile Area,389,389,2016,11,Aggravated Assault-Knife,1
17153,Neighborhood Profile Area,271,271,2016,11,Aggravated Assault-Knife,1
17162,Neighborhood Profile Area,37,37,2016,03,Aggravated Assault-Other Weapon,1
17178,Neighborhood Profile Area,273,273,2016,07,Aggravated Assault-Gun,2
17200,Neighborhood Profile Area,363,363,2016,06,Aggravated Assault-Gun,6
17204,Neighborhood Profile Area,310,310,2016,03,Aggravated Assault-Other Weapon,1
17225,Neighborhood Profile Area,369,369,2016,01,Aggravated Assault-Other Weapon,1
17234,Neighborhood Profile Area,147,147,2016,07,Aggravated Assault-Knife,1
17238,Neighborhood Profile Area,41,41,2016,09,Aggravated Assault-Gun,1
17252,Neighborhood Profile Area,366,366,2016,03,Aggravated Assault-Knife,1
17254,Neighborhood Profile Area,153,153,2016,04,Aggravated Assault-Gun,2
17256,Neighborhood Profile Area,98,98,2016,02,Aggravated Assault-Gun,1
17262,Neighborhood Profile Area,339,339,2016,08,Aggravated Assault-Gun,2
17263,Neighborhood Profile Area,341,341,2016,03,Aggravated Assault-Gun,1
17304,Neighborhood Profile Area,40,40,2016,03,Aggravated Assault-Knife,1
17319,Neighborhood Profile Area,164,164,2016,02,"Aggravated Assault-Fists,Feet, etc.",1
17325,Neighborhood Profile Area,384,384,2016,04,Aggravated Assault-Gun,1
17334,Neighborhood Profile Area,291,291,2016,06,Aggravated Assault-Gun,2
17338,Neighborhood Profile Area,343,343,2016,07,"Aggravated Assault-Fists,Feet, etc.",1
17348,Neighborhood Profile Area,302,302,2016,06,Aggravated Assault-Other Weapon,1
17351,Neighborhood Profile Area,204,204,2016,02,Aggravated Assault-Other Weapon,1
17378,Neighborhood Profile Area,233,233,2016,01,Aggravated Assault-Other Weapon,2
17387,Neighborhood Profile Area,304,304,2016,07,Aggravated Assault-Knife,1
17391,Neighborhood Profile Area,103,103,2016,04,Aggravated Assault-Knife,1
17409,Neighborhood Profile Area,164,164,2016,04,Aggravated Assault-Other Weapon,1
17430,Neighborhood Profile Area,342,342,2016,10,"Aggravated Assault-Fists,Feet, etc.",1
17449,Neighborhood Profile Area,381,381,2016,11,"Aggravated Assault-Fists,Feet, etc.",1
17470,Neighborhood Profile Area,378,378,2016,06,Aggravated Assault-Other Weapon,1
17476,Neighborhood Profile Area,58,58,2016,07,Aggravated Assault-Gun,1
17496,Neighborhood Profile Area,16,16,2016,04,Aggravated Assault-Knife,1
17499,Neighborhood Profile Area,135,135,2016,12,Aggravated Assault-Other Weapon,1
17502,Neighborhood Profile Area,248,248,2016,10,Aggravated Assault-Knife,1
17510,Neighborhood Profile Area,127,127,2016,05,Aggravated Assault-Other Weapon,1
17532,Neighborhood Profile Area,365,365,2016,05,Aggravated Assault-Knife,1
17536,Neighborhood Profile Area,315,315,2016,11,Aggravated Assault-Knife,1
17544,Neighborhood Profile Area,371,371,2016,02,Aggravated Assault-Knife,1
17545,Neighborhood Profile Area,87,87,2016,05,Aggravated Assault-Other Weapon,1
17547,Neighborhood Profile Area,167,167,2016,11,Aggravated Assault-Other Weapon,1
17548,Neighborhood Profile Area,64,64,2016,06,Aggravated Assault-Other Weapon,1
